sym,date,hour,dow,dir,R,win,trend,stack,atr_pct,atr_exp,atr_rank,range_pct,dir_with_trend
XPTUSD,2022-03-14,8,0,-1,-2.091677215643953,0,-1,-1,0.006282751641175869,0,0.5,0.016903197671662665,1
XPTUSD,2022-03-15,9,1,-1,-2.248827375142133,0,-1,-1,0.005894400992451545,0,0.05,0.012116403671162573,1
XPTUSD,2022-03-22,8,1,1,-2.788720679938376,0,1,-1,0.004074471820218216,0,0.004672897196261682,0.008315090064139573,1
XPTUSD,2022-03-23,9,2,-1,-3.044259011344259,0,-1,-1,0.0033887469585013198,0,0.004201680672268907,0.010018637031485705,1
XPTUSD,2022-04-07,9,3,-1,-2.468221266872091,0,-1,-1,0.00408213037170975,0,0.04276985743380855,0.008249051833122672,1
XPTUSD,2022-04-12,8,1,1,-2.5314945297773384,0,1,-1,0.004083499145162918,0,0.094,0.012250513388566876,1
XPTUSD,2022-04-13,8,2,1,2.054698738457017,1,1,-1,0.0042027290772138105,0,0.11,0.010471257674665686,1
XPTUSD,2022-05-10,8,1,1,2.6713231123983845,1,1,1,0.0060477087322435485,0,0.5,0.015358097577590385,1
XPTUSD,2022-05-11,8,2,1,-1.886389332611697,0,1,1,0.005975237062357234,0,0.468,0.01859815750856025,1
XPTUSD,2022-05-17,8,1,-1,-2.2083699757613107,0,-1,-1,0.004591726785569372,0,0.05,0.010323183618849397,1
XPTUSD,2022-05-18,8,2,1,-2.1302298053375153,0,1,-1,0.004895047457077416,0,0.086,0.010244080907332833,1
XPTUSD,2022-05-23,8,0,1,2.2473339130140872,1,1,1,0.004197925506027165,0,0.024,0.014697651278011634,1
XPTUSD,2022-05-26,8,3,-1,-2.2284100680555405,0,-1,-1,0.004915815538550053,0,0.07,0.010791634359034243,1
XPTUSD,2022-05-31,8,1,1,1.8090388293823585,1,1,1,0.0034171901413480826,0,0.022,0.011887521748642955,1
XPTUSD,2022-06-02,8,3,1,1.9868478009666304,1,1,1,0.008050869933442605,1,0.902,0.01072135529184791,1
XPTUSD,2022-06-07,8,1,-1,-2.430580573154787,0,-1,1,0.004486720613742799,0,0.16,0.01410983813432173,1
XPTUSD,2022-06-09,8,3,-1,1.7487640124054353,1,-1,1,0.0034637046878289593,0,0.044,0.006544188280499483,1
XPTUSD,2022-06-13,9,0,-1,2.2430137471636837,1,-1,-1,0.00505899397047367,0,0.288,0.019452938291188764,1
XPTUSD,2022-06-16,9,3,-1,-2.1759678582755178,0,-1,-1,0.005343614791134206,0,0.352,0.009688993941717,1
XPTUSD,2022-06-29,9,2,1,2.320584254501413,1,1,-1,0.004278615559966291,0,0.104,0.016037633827187238,1
XPTUSD,2022-07-05,9,1,-1,2.1755563572537366,1,-1,-1,0.004073650180222248,0,0.012,0.007233457865391827,1
XPTUSD,2022-07-06,8,2,-1,-2.0977255848989906,0,-1,-1,0.0056953500674164145,0,0.37,0.010720556259665392,1
XPTUSD,2022-07-19,8,1,1,-2.17715974583511,0,1,-1,0.005218965580807255,0,0.166,0.009016478391543082,1
XPTUSD,2022-07-28,9,3,1,-2.065121752990249,0,1,1,0.0036637752000187656,0,0.002,0.010438390079068589,1
XPTUSD,2022-08-01,9,0,1,2.700786648294345,1,1,1,0.004922407863585547,0,0.142,0.009708629769419948,1
XPTUSD,2022-08-02,9,1,1,-1.950791228241076,0,1,1,0.0045968570111593375,0,0.102,0.008228021226544101,1
XPTUSD,2022-08-11,8,3,1,2.1048024857796523,1,1,1,0.0033733721304346357,0,0.002,0.006987176104279914,1
XPTUSD,2022-08-15,8,0,-1,2.4313234330974574,1,-1,1,0.004183884067280547,0,0.092,0.012127002792885444,1
XPTUSD,2022-08-17,9,2,1,-2.2402149178446273,0,1,1,0.003925317374080789,0,0.024,0.005947749341803647,1
XPTUSD,2022-08-18,9,3,-1,-1.975492814518773,0,-1,-1,0.00443620483836998,0,0.166,0.010035959463877,1
XPTUSD,2022-08-23,9,1,-1,-1.8550484809759984,0,-1,-1,0.004782340338379372,0,0.208,0.012604173841173655,1
XPTUSD,2022-08-24,9,2,-1,-1.3239739581898304,0,-1,-1,0.004427241978152344,0,0.096,0.007673478681618955,1
XPTUSD,2022-08-25,9,3,1,-1.7669944714795727,0,1,-1,0.004939373343966906,0,0.308,0.012875342759453354,1
XPTUSD,2022-09-05,8,0,1,2.4584952073347175,1,1,-1,0.00466648994927089,0,0.126,0.010468463752944336,1
XPTUSD,2022-09-07,9,2,1,-1.9775820223220228,0,1,-1,0.005316515345346551,1,0.442,0.013988220445940159,1
XPTUSD,2022-09-21,9,2,1,-2.0358533086457085,0,1,1,0.004395421698277426,0,0.118,0.012149262366213392,1
XPTUSD,2022-09-28,9,2,-1,-1.7019544115340088,0,-1,-1,0.005974813898093111,0,0.422,0.013080007637960573,1
XPTUSD,2022-09-29,9,3,-1,-1.8520155755231715,0,-1,-1,0.006528828620690303,0,0.604,0.011865469472737915,1
XPTUSD,2022-10-04,8,1,1,-1.8268062211780556,0,1,1,0.004961664288972579,0,0.17,0.008525946380048185,1
XPTUSD,2022-10-06,8,3,1,-1.765870435400128,0,1,1,0.005297536465301214,0,0.222,0.014697160849265136,1
XPTUSD,2022-10-13,9,3,-1,-2.028054622599947,0,-1,-1,0.003757716043969058,0,0.002,0.007698771376013414,1
XPTUSD,2022-10-18,9,1,1,-1.9367378070896426,0,1,1,0.004676842766283297,0,0.046,0.011313809343366043,1
XPTUSD,2022-10-19,9,2,-1,-1.7008508546931225,0,-1,1,0.005984347045798681,0,0.324,0.018238270212314507,1
XPTUSD,2022-10-26,9,2,1,2.5561256527639737,1,1,1,0.004961139448578945,0,0.098,0.01189640082550864,1
XPTUSD,2022-10-31,8,0,-1,2.5306310421108034,1,-1,1,0.0043922676173123705,0,0.03,0.011659910390441595,1
XPTUSD,2022-11-08,9,1,1,-2.201208809692567,0,1,1,0.0037725184423016487,0,0.006,0.008353064314530497,1
XPTUSD,2022-11-10,8,3,1,-2.118102682640499,0,1,1,0.004617001885814396,0,0.14,0.01058014637043598,1
XPTUSD,2022-11-14,8,0,-1,-1.8231433143302216,0,-1,1,0.006199955443679131,0,0.624,0.013467186625148607,1
XPTUSD,2022-11-29,8,1,1,-2.008070278483122,0,1,-1,0.0056099890833916245,1,0.5,0.016424302788844516,1
XPTUSD,2022-12-06,9,1,-1,-1.992314310990512,0,-1,1,0.004414544162183861,0,0.082,0.01218715776994102,1
XPTUSD,2022-12-08,8,3,1,-1.414835563347415,0,1,-1,0.005378431740014833,0,0.372,0.010245597362872352,1
XPTUSD,2022-12-14,9,2,1,-1.9620963283178074,0,1,1,0.004725007133474656,0,0.218,0.00954842692077708,1
XPTUSD,2022-12-29,8,3,1,-2.150356515629347,0,1,1,0.0039456374346603235,0,0.01,0.010929338042163058,1
XPTUSD,2023-01-11,9,2,1,2.419720858498897,1,1,1,0.004479598667647643,0,0.136,0.008017432398885674,1
XPTUSD,2023-01-16,9,0,-1,-2.0178290777931376,0,-1,1,0.005005684661231628,0,0.246,0.011175917215428136,1
XPTUSD,2023-01-17,9,1,-1,-2.22062786670679,0,-1,-1,0.0038611203834208758,0,0.018,0.008769518103129533,1
XPTUSD,2023-01-24,9,1,1,-2.111673255846837,0,1,-1,0.003904434105337127,0,0.02,0.006840813696787117,1
XPTUSD,2023-01-31,8,1,-1,2.4494820364264833,1,-1,-1,0.004385741214300083,0,0.058,0.009101670131601175,1
XPTUSD,2023-02-01,9,2,1,-1.8243300003846352,0,1,-1,0.004130630577073546,0,0.026,0.0067249561843997175,1
XPTUSD,2023-02-08,9,2,1,-1.8456666705213014,0,1,-1,0.004356507172137678,0,0.036,0.01001385436616279,1
XPTUSD,2023-02-09,9,3,1,-2.2706090670854997,0,1,-1,0.003722331055207162,0,0.002,0.011367114956837718,1
XPTUSD,2023-02-15,9,2,-1,-1.6640576053243425,0,-1,-1,0.004748461227046836,0,0.124,0.008727735643468258,1
XPTUSD,2023-02-28,9,1,1,-1.9873684520727952,0,1,-1,0.004192085953731935,0,0.074,0.007946249074172036,1
XPTUSD,2023-03-01,8,2,1,-1.961678359270715,0,1,1,0.004571756954525564,0,0.176,0.01036404353939892,1
XPTUSD,2023-03-27,9,0,-1,-2.168595689685118,0,-1,1,0.004365485225691265,0,0.092,0.008800131898932521,1
XPTUSD,2023-03-28,9,1,-1,1.4571722770456912,1,-1,-1,0.0036099196342565445,0,0.012,0.006857720349382782,1
XPTUSD,2023-03-29,8,2,-1,-2.698334327755696,0,-1,-1,0.0038435371116401222,0,0.02,0.007519660779747094,1
XPTUSD,2023-03-30,8,3,1,-2.6701667263872744,0,1,-1,0.0038627608100962247,0,0.028,0.007196688905362006,1
XPTUSD,2023-04-04,9,1,-1,-1.624374965911205,0,-1,1,0.003739565581886603,0,0.02,0.006942467981297054,1
XPTUSD,2023-04-26,9,2,1,-2.296932545716045,0,1,1,0.003934352366536139,0,0.222,0.01063887877684752,1
XPTUSD,2023-04-27,8,3,1,-2.609824023373663,0,1,1,0.003278472897595846,0,0.012,0.008684320836902414,1
XPTUSD,2023-05-03,9,2,1,-2.6242491260219167,0,1,-1,0.003125004588305254,0,0.004,0.0038062737892113445,1
XPTUSD,2023-05-08,8,0,1,-1.5189406829440855,0,1,-1,0.004077651647075824,0,0.246,0.01089183954186911,1
XPTUSD,2023-05-16,9,1,-1,-3.8145155331693625,0,-1,-1,0.003500745389491742,0,0.032,0.008019670890864401,1
XPTUSD,2023-05-22,9,0,-1,-2.08904635692425,0,-1,-1,0.004014740456001743,0,0.19,0.00778496164068537,1
XPTUSD,2023-05-25,9,3,-1,-2.635848184979349,0,-1,-1,0.0038546602275067983,0,0.126,0.006824399188131745,1
XPTUSD,2023-05-29,9,0,1,-3.1160441561212866,0,1,-1,0.003431295534520453,0,0.042,0.007817122018873655,1
XPTUSD,2023-06-05,8,0,1,-1.9372545680602227,0,1,-1,0.0037037876272990535,0,0.098,0.0075286901464186925,1
XPTUSD,2023-06-06,8,1,1,-1.734620081398782,0,1,-1,0.003564218529850769,0,0.084,0.008765339343851652,1
XPTUSD,2023-06-20,9,1,-1,-2.162586327350903,0,-1,-1,0.0034791301057393396,0,0.026,0.010119785212722086,1
XPTUSD,2023-06-21,8,2,-1,2.2019132328753384,1,-1,-1,0.0027931915013902284,0,0.002,0.004940587867417146,1
XPTUSD,2023-06-22,8,3,-1,-2.1896648639578,0,-1,-1,0.003657438681527477,0,0.062,0.007586866432897658,1
XPTUSD,2023-07-03,9,0,-1,-1.8769552730865537,0,-1,-1,0.004558361328918961,0,0.372,0.009620511908994048,1
XPTUSD,2023-07-04,9,1,1,2.386327446830156,1,1,-1,0.0034321609308081372,0,0.02,0.015689431938112654,1
XPTUSD,2023-07-10,8,0,-1,-1.8046266329489205,0,-1,-1,0.004287635145299637,0,0.288,0.009857805289070553,1
XPTUSD,2023-07-11,9,1,1,-2.018222441411232,0,1,1,0.0033682307609303385,0,0.022,0.009663999999999942,1
XPTUSD,2023-07-12,9,2,1,-2.108681593035136,0,1,1,0.0030771227372700426,0,0.008,0.009448903156768248,1
XPTUSD,2023-07-13,9,3,1,-1.8180088555155312,0,1,1,0.004060912262959632,0,0.314,0.012491686065846339,1
XPTUSD,2023-07-18,8,1,1,-1.9244106735895494,0,1,1,0.0034156994815526436,0,0.104,0.010746256551668228,1
XPTUSD,2023-07-20,9,3,-1,-1.8954928350994646,0,-1,1,0.0035222348607980734,0,0.152,0.008030474621641054,1
XPTUSD,2023-07-25,8,1,1,2.444375799282142,1,1,1,0.002999537855673615,0,0.01,0.00942538238941712,1
XPTUSD,2023-07-31,8,0,-1,-1.9457391165885642,0,-1,-1,0.0034843866621613595,0,0.104,0.01105300048525368,1
XPTUSD,2023-08-02,9,2,-1,-2.0101290887190553,0,-1,-1,0.0034066231834735264,0,0.088,0.01003981491445166,1
XPTUSD,2023-08-22,9,1,1,2.261010710839326,1,1,1,0.003247342008446842,0,0.072,0.0048284902774742835,1
XPTUSD,2023-08-23,8,2,1,-1.956660193043668,0,1,1,0.0033878176412774938,0,0.146,0.007530704589528129,1
XPTUSD,2023-09-20,8,2,-1,-2.3267951049517124,0,-1,1,0.0030248865902455027,0,0.038,0.008401026079521055,1
XPTUSD,2023-09-26,8,1,-1,-3.181678346103041,0,-1,-1,0.0025959793178552074,0,0.002,0.0061390940152098936,1
XPTUSD,2023-10-04,9,2,-1,-1.7926867331076435,0,-1,-1,0.004208893279109837,0,0.504,0.009874856739329219,1
XPTUSD,2023-10-09,8,0,1,-1.5771686919534353,0,1,-1,0.006016500307094976,1,0.936,0.017785582421540765,1
XPTUSD,2023-10-11,8,2,1,-2.0794965979793614,0,1,-1,0.0031634253870663153,0,0.038,0.007615185310352586,1
XPTUSD,2023-10-12,9,3,1,-1.809688524296256,0,1,1,0.0039841163636202825,0,0.354,0.01137123745819403,1
XPTUSD,2023-10-19,8,3,-1,-2.6208991123481913,0,-1,1,0.0037535908712268687,0,0.18,0.006811124458849918,1
XPTUSD,2023-10-25,9,2,-1,-1.9893059187923026,0,-1,1,0.0032227468105941255,0,0.02,0.007722138681922425,1
XPTUSD,2023-11-07,9,1,-1,2.3551785711865083,1,-1,1,0.003156972108294599,0,0.02,0.0070569756766622,1
XPTUSD,2023-11-16,9,3,1,-1.828374454465235,0,1,1,0.004350273522000693,0,0.422,0.01029749553368321,1
XPTUSD,2023-12-05,8,1,-1,2.636265943192382,1,-1,1,0.004432871360228088,0,0.364,0.007930266089920032,1
XPTUSD,2023-12-12,8,1,1,2.2932435477506554,1,1,-1,0.0035330573891931873,0,0.058,0.007957964505298116,1
XPTUSD,2023-12-18,8,0,1,-2.075544666278809,0,1,1,0.004408320789307077,0,0.306,0.007266428677045262,1
XPTUSD,2023-12-19,9,1,-1,-2.305599461344219,0,-1,1,0.003668292169081839,0,0.076,0.00946833298030072,1
XPTUSD,2023-12-21,8,3,1,-2.1709871774115395,0,1,1,0.004072266834162961,0,0.204,0.012935343894620822,1
XPTUSD,2024-01-04,8,3,-1,-2.518355220904975,0,-1,1,0.00402572031999539,0,0.182,0.007151493856122649,1
XPTUSD,2024-01-08,8,0,-1,-2.2992053074048138,0,-1,-1,0.00449691394041307,0,0.362,0.01234968445509629,1
XPTUSD,2024-01-16,8,1,-1,-2.7757181230058356,0,-1,-1,0.003184522783517488,0,0.01,0.005177758723039418,1
XPTUSD,2024-01-17,9,2,-1,-2.6382807258408008,0,-1,-1,0.0035209849233326733,0,0.046,0.0071534121440085825,1
